date,open,high,low,close,volume,Name

2018-01-02,170.16,172.3,169.26,172.26,25555934,AAPL

2018-01-03,172.53,174.55,171.96,172.23,29517899,AAPL

2018-01-04,172.54,173.47,172.08,173.03,22434597,AAPL

2018-01-05,173.44,175.37,173.05,175.0,23660018,AAPL

2018-01-08,174.35,175.61,173.93,174.35,20567766,AAPL

2018-01-09,174.55,175.06,173.41,174.33,21583997,AAPL

2018-01-10,173.16,174.3,173.0,174.29,23959895,AAPL

2018-01-11,174.59,175.4886,174.49,175.28,18667729,AAPL

2018-01-12,176.18,177.36,175.65,177.09,25418080,AAPL

2018-01-16,177.9,179.39,176.14,176.19,29565947,AAPL

2018-01-17,176.15,179.25,175.07,179.1,34386836,AAPL

2018-01-18,179.37,180.1,178.25,179.26,31193352,AAPL

2018-01-19,178.61,179.58,177.41,178.46,32425067,AAPL

2018-01-22,177.3,177.78,176.6016,177.0,27108551,AAPL

2018-01-23,177.3,179.44,176.82,177.04,32689146,AAPL

2018-01-24,177.25,177.3,173.2,174.22,51105090,AAPL

2018-01-25,174.505,174.95,170.53,171.11,41529004,AAPL

2018-01-26,172.0,172.0,170.06,171.51,39143011,AAPL

2018-01-29,170.16,170.16,167.07,167.96,50640406,AAPL

2018-01-30,165.525,167.37,164.7,166.97,46048185,AAPL

2018-01-31,166.87,168.4417,166.5,167.43,32478930,AAPL